858541,806.5,1
2047450,1194.75,2
3371695,1246.5,3
4923443,1264.5,4
6762599,1534.5,5
8591281,1584.25,6
10498038,1577.75,7
12520395,1603.5,8
14633946,1707.75,9
16832733,1747.5,10
19103806,1735.75,11
21215132,1742.5,12
23529061,1821.75,13
25789313,1824.0,14
28247737,1821.25,15
30635218,1819.5,16
32933890,1821.75,17
35382358,1823.5,18
37796381,1823.25,19
40218518,1823.75,20
42856248,1820.5,21
45464286,1850.0,22
48030563,1850.0,23
50496461,1850.0,24
53151230,1850.0,25
55780070,1850.0,26
58336429,1850.0,27
61095547,1850.0,28
63855316,1850.0,29
66567053,1850.0,30
69311406,1850.0,31
72046861,1850.0,32
74841497,1850.0,33
77597796,1850.0,34
80623410,1850.0,35
83629758,1850.0,36
86668042,1850.0,37
89613595,1850.0,38
92551105,1850.0,39
95590941,1850.0,40
98741733,1850.0,41
101944292,1850.0,42
105464424,1850.0,43
108850677,1850.0,44
112285880,1850.0,45
115587024,1850.0,46
118922330,1850.0,47
122169080,1816.0,48
125313291,1828.0,49
