4319191,30.86,1
8638453,31.675,2
12957879,28.76,3
17276897,30.385,4
21596245,29.11,5
25915462,31.7,6
30234637,32.25,7
34553949,33.47,8
38873088,33.345,9
43192244,27.84,10
47511345,29.925,11
51830473,30.775,12
56149698,30.685,13
60468885,28.72,14
64788141,32.265,15
69107463,32.795,16
73426645,26.845,17
77745886,30.745,18
82065115,28.775,19
86384304,33.305,20
90703629,32.53,21
95022907,34.785,22
99342050,33.495,23
103661291,29.585,24
107980636,37.935,25
112299861,31.19,26
116619117,34.225,27
120938285,32.02,28
125257432,29.725,29
