3316877,304.6,1
5681120,409.8,2
7749474,436.0,3
9851201,471.3,4
11967143,600.5,5
14104413,603.5,6
16237753,641.3,7
18347655,634.0,8
20367361,685.2,9
22393014,696.7,10
24577897,687.9,11
26717091,695.5,12
29118900,689.6,13
31346790,686.7,14
33626236,690.2,15
