766874,271.75,1
1519453,283.75,2
2280133,309.25,3
3043543,322.5,4
3782757,287.75,5
4567243,312.75,6
5356383,329.0,7
6177358,213.0,8
6995646,231.5,9
7821809,437.25,10
8635012,421.5,11
9430487,323.0,12
10246865,314.0,13
11066674,434.25,14
11922215,471.75,15
12788531,473.5,16
13644740,465.75,17
14485109,468.5,18
15330863,433.0,19
16136612,404.25,20
16909396,422.25,21
17681796,536.25,22
18493734,519.25,23
19336932,332.25,24
20195427,312.5,25
21042858,330.0,26
21898529,478.75,27
22725790,502.75,28
23574918,491.0,29
