1011872,8538.9,1
2234147,11145.8,2
3804056,9649.6,3
5459720,11655.8,4
7155151,13340.4,5
8996979,11847.4,6
10780057,11413.5,7
12644982,9484.8,8
14484503,13371.8,9
16342274,9973.1,10
18259832,11098.9,11
20164221,10192.6,12
22038400,10174.1,13
23921731,8878.4,14
25793141,11645.4,15
27703654,9984.5,16
29590436,9002.8,17
31491603,10019.2,18
33402581,11271.4,19
35304555,11201.6,20
37224342,10311.7,21
39111124,9396.9,22
41019271,10492.4,23
42923813,11894.6,24
44832174,9715.0,25
46701868,9892.4,26
48571055,11073.6,27
50498337,9977.7,28
52403384,11742.0,29
54301560,10148.1,30
56209793,9657.4,31
58086036,10605.2,32
60000375,10333.1,33
61936031,11497.5,34
63815999,10970.7,35
65766821,12673.5,36
67670944,10503.3,37
69557870,10958.9,38
71454071,11281.1,39
73327663,10504.7,40
75247566,11679.3,41
77111718,9518.2,42
79037297,10175.9,43
80983915,11407.0,44
82937365,11408.3,45
84861971,11631.7,46
86779472,11119.3,47
88712535,12731.1,48
90659475,15902.5,49
92578059,14073.9,50
94496717,14355.8,51
96362485,10016.9,52
98251329,12004.1,53
100139344,11578.6,54
102013022,10694.8,55
103894322,13778.8,56
105801018,15894.8,57
107676429,13765.5,58
109597009,11044.8,59
111519046,13600.3,60
113405153,14072.3,61
115235254,12446.7,62
117082574,10958.7,63
118929186,16157.8,64
120854301,11034.9,65
122808362,14703.2,66
124759218,15155.0,67
126662480,13236.8,68
