3775651,80.2,1
6803401,90.8,2
9803450,98.8,3
12616036,101.7,4
15460449,103.0,5
18074057,115.1,6
20744182,104.4,7
23542367,99.3,8
26711264,100.9,9
29851191,111.3,10
32938940,123.0,11
36584967,117.4,12
40363365,121.9,13
43966815,110.9,14
47478473,118.2,15
50985243,126.7,16
54396342,132.1,17
57837933,121.7,18
61186189,121.8,19
64392935,120.0,20
67682653,127.0,21
70965302,131.6,22
74227064,124.1,23
77652256,130.6,24
80836213,133.3,25
84045754,142.9,26
87151712,140.9,27
90336122,129.6,28
93432593,127.7,29
96557229,130.8,30
99672287,130.5,31
102768231,127.5,32
105598317,135.4,33
108388060,130.3,34
111221891,150.1,35
114087577,161.2,36
117007893,144.9,37
119853730,148.4,38
122890473,153.3,39
125923737,151.5,40
