1289484,451.0,1
2630470,1852.0,2
3944236,2073.5,3
5292830,1839.5,4
6633773,2156.5,5
7987265,3074.0,6
9366146,3477.0,7
10731783,3402.5,8
12104841,3394.0,9
13483857,3402.5,10
14880530,3406.5,11
16299300,3376.0,12
17719377,4521.0,13
19181948,4516.5,14
20648379,4752.0,15
22113689,4358.0,16
23582971,4798.0,17
25085774,4919.0,18
26640159,4668.0,19
28162291,4777.0,20
29722071,5368.0,21
31263088,5413.0,22
32810769,5297.0,23
34407570,5556.0,24
36009171,5485.0,25
37611640,5280.5,26
39261662,5415.0,27
40894773,5310.0,28
42481577,5424.0,29
44090812,5352.5,30
45712780,5366.0,31
47374750,5282.0,32
49052024,5141.0,33
50686097,5181.0,34
52341003,5697.5,35
53978895,5785.0,36
55648645,5711.5,37
57332352,5712.5,38
59038167,5836.0,39
60741227,5649.5,40
62444813,5698.5,41
64152653,5736.5,42
65853768,5545.5,43
67554319,5752.0,44
69278347,5729.5,45
71005334,5606.0,46
72726760,5723.0,47
74471367,5872.0,48
76240925,5627.0,49
78010999,5572.0,50
79793516,5763.0,51
81599794,5574.0,52
83441368,5809.0,53
85244454,5840.0,54
87063712,5256.0,55
88905224,5432.0,56
90718814,5330.5,57
92552636,5853.5,58
94380191,5522.0,59
96230582,5317.5,60
98140739,5578.0,61
100070107,5472.0,62
101982766,5470.0,63
103891766,5458.0,64
105793363,5061.0,65
107714185,5408.0,66
109624359,5197.0,67
111541386,5383.0,68
113453594,6606.0,69
